ResponseID,StartDate,EndDate,Finished,consent,dem1,dem1_TEXT,dem2,dem2b,dem3,dem4,dem4_TEXT,dem5,dem5_TEXT,dem6,dem7,dem7a,dem7_1_59,dem7_1_60,dem7_1_61,dem7_1_62,dem7_1_63,dem7_1_64,dem7_1_65,dem7_1a_59,dem7_1a_60,dem7_1a_61,dem7_1a_62,dem7_1a_63,dem7_1a_64,dem7_1a_65,dem8,dem9,DR_title,DRtext,DR_equip_1,DR_equip_2,DR_equip_3,DR_equip_4,DR_equip_5,DR_genetic_1,DR_genetic_2,DR_genetic_3,DRtext2,DR_general_1,DR_general_2,DR_general_3,DR_general_4,DR_general_5,DR_general_6,DR_general_7,DR_general_8,DR_general_9,DR_general_10,DR_general_11,DRtext3,DR_harvest_1,DR_harvest_2,DR_harvest_3,DR_harvest_4,DR_harvest_5,DR_harvest_6,DR_person_1,DR_person_2,DR_person_3,DR_person_4,DR_person_5,IB_title,IB_text,IB_equip_1,IB_equip_2,IB_equip_3,IB_equip_4,IB_equip_5,IB_genetic_1,IB_genetic_2,IB_genetic_3,IB_text2,IB_general_1,IB_general_2,IB_general_3,IB_general_4,IB_general_5,IB_general_6,IB_general_7,IB_general_8,IB_general_9,IB_general_10,IB_general_11,IB_text3,IB_harvest_1,IB_harvest_2,IB_harvest_3,IB_harvest_4,IB_harvest_5,IB_harvest_6,IB_person_1,IB_person_2,IB_person_3,IB_person_4,IB_person_5,Comments,TimeTaken
R_1rOlek3aFpilYXX,1/22/15 9:51,1/22/15 9:58,1,1,1,,3,NA,4,2,NA,1,,2,2,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,NA,NA,NA,3,NA,NA,3,NA,1,2,NA,2,NA,NA,3,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,2.452,NA,1,NA,NA,NA,NA,NA,NA,3.263,NA,NA,NA,NA,1,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,1.882,,6.716666667
R_1dcoUjIfB4sifYI,1/22/15 9:58,1/22/15 10:02,1,1,2,,NA,3,NA,NA,NA,NA,,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,2,NA,1,2,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2.613,NA,NA,1,NA,NA,3.548,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.151,NA,NA,NA,NA,NA,NA,NA,3.097,,4.016666667
R_31NjCPC8rxZxdEb,1/22/15 10:02,1/22/15 10:06,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,1,1,1,NA,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,1,3,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1,1,NA,NA,2.43,NA,NA,NA,NA,3.446,1,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2.425,NA,NA,NA,NA,NA,3.29,,4.083333333
R_ZdUEOggGP6v74D7,1/22/15 10:07,1/22/15 10:08,1,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3.194,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1.468,NA,NA,NA,1,NA,NA,NA,NA,NA,3.785,2.93,NA,NA,NA,NA,,1.033333333
R_3imMtMWC7dbez8o,1/22/15 10:20,1/22/15 10:21,1,1,2,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,2.894,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2.868,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2.707,NA,NA,NA,NA,NA,2.835,,1.166666667
R_1ibz0OpnL482PID,1/22/15 10:22,1/22/15 10:23,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,2,1,1,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,1,1,3.608,NA,NA,NA,NA,3.581,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.104,1,NA,NA,NA,3.361,NA,NA,NA,3.361,NA,NA,NA,,0.966666667
R_30pcqlHnicq4b7T,1/22/15 10:26,1/22/15 10:30,1,1,1,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,3,3,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,2.503,NA,NA,NA,NA,NA,1,1.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2.707,NA,NA,NA,NA,2.444,NA,NA,NA,NA,,3.433333333
R_XLlP5GfPHEJc2LD,1/22/15 10:30,1/22/15 10:31,1,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,1,1,2.691,NA,NA,NA,NA,NA,2.943,NA,1,NA,2.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1.886,NA,NA,NA,NA,2.352,NA,NA,NA,NA,,1.25
R_2vii1BcTy8kdgsk,1/22/15 10:50,1/22/15 10:55,1,1,1,,6,NA,4,2,NA,2,,3,2,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,NA,NA,3,1,2,NA,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3.011,1,NA,NA,NA,NA,NA,NA,NA,2.306,NA,NA,NA,1,NA,NA,NA,2.28,NA,NA,2.376,3.285,NA,NA,NA,,5.65
R_20Vw97tWh5mW7Uw,1/22/15 10:58,1/22/15 10:59,1,1,2,,NA,2,NA,NA,NA,NA,,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3.548,1,NA,NA,NA,NA,NA,NA,NA,2.484,NA,NA,NA,1,NA,NA,NA,NA,NA,3.043,NA,3.306,NA,NA,NA,,1.483333333
